DISTRICT #,DISTRICT NAME,SCHOOL #,SCHOOL NAME,DAYS PRESENT,DAYS ABSENT,TOTAL DAYS,% PRESENT,AVERAGE DAILY ATTENDANCE,AVERAGE DAILY MEMBERSHIP,SUMMER DAYS PRESENT ,SUMMER DAYS ABSENT ,TOTAL SUMMER DAYS ,% SUMMER DAYS PRESENT
53,POLK,9228,POLK COUNTY SHERIFF'S CENTRAL CENTER,"4,969",632,"5,601",88.7%,28,31,0,0,0,
53,POLK,9236,POLK COUNTY SHERIFFS REGIONAL DETENTION CENTER,"4,535",804,"5,339",84.9%,25,30,504,31,535,94.2%
53,POLK,9237,BARTOW YOUTH ACADEMY,"4,251",0,"4,251",100.0%,24,24,455,1,456,99.8%
53,POLK,9251,HAINES CITY HEADSTART CENTER,"14,313","1,365","15,678",91.3%,80,87,0,0,0,
53,POLK,9252,WINTER HAVEN HEAD START,"5,958",468,"6,426",92.7%,33,36,0,0,0,
53,POLK,9998,HOME EDUCATION PROGRAM STUDENTS,"29,522",725,"30,247",97.6%,164,168,0,0,0,
53,POLK,9999,OUT OF STATE/NON-PUBLIC SCHOOL,"29,622",35,"29,657",99.9%,165,165,0,0,0,
54,PUTNAM,0041,C. L. OVERTURF JR 6TH GRADE CENTER,"62,808","7,940","70,748",88.8%,349,393,0,0,0,
54,PUTNAM,0051,THE CHILDREN'S READING CENTER,"42,158","2,176","44,334",95.1%,234,246,0,0,0,
54,PUTNAM,0061,PUTNAM ACADEMY OF ARTS AND SCIENCES,"32,412","2,782","35,194",92.1%,180,196,0,0,0,
54,PUTNAM,0071,PUTNAM EDGE HIGH SCHOOL,"11,246","2,498","13,744",81.8%,62,76,0,0,0,
54,PUTNAM,0091,MELLON ELEMENTARY SCHOOL,"52,544","5,624","58,168",90.3%,292,323,280,188,468,59.8%
