SCHOOLS,ENROLLMENT,ABSENT,% ABSENT,% PRESENT,SCHOOL_TYPE,WEEK
RCMA WIMAUMA ACADEMY,226,0,0,1,CHARTER,4/24/2020
RIVERHILLS ELEMENTARY MAGNET,509,0,0,1,ELEMENTARY,4/24/2020
RIVERVIEW ACADEMY OF MATH SCIE,617,0,0,1,CHARTER,4/24/2020
ROBLES ELEMENTARY,762,0,0,1,ELEMENTARY,4/24/2020
ROLAND PARK K-8 MAGNET,803,0,0,1,ALTERNATIVE,4/24/2020
SEMINOLE ELEMENTARY,426,0,0,1,ELEMENTARY,4/24/2020
SEMINOLE HEIGHTS CHARTER SCH,231,0,0,1,CHARTER,4/24/2020
SESSUMS ELEMENTARY,1019,0,0,1,ELEMENTARY,4/24/2020
SHAW ELEMENTARY,737,0,0,1,ELEMENTARY,4/24/2020
SICKLES HIGH SCHOOL,2414,0,0,1,HIGH,4/24/2020
SLIGH MIDDLE SCHOOL,556,0,0,1,MIDDLE,4/24/2020
SOUTH COUNTY CAREER CENTER,225,0,0,1,ALTERNATIVE,4/24/2020
SOUTHSHORE CHARTER ACADEMY,1089,0,0,1,CHARTER,4/24/2020
SPOTO HIGH SCHOOL,1640,0,0,1,HIGH,4/24/2020
SULLIVAN PARTNERSHIP ELEM,98,0,0,1,ELEMENTARY,4/24/2020
SUMMERFIELD CROSSINGS ELEM,1022,0,0,1,ELEMENTARY,4/24/2020
SUNLAKE ACAD OF MATH & SCIENCE,705,0,0,1,CHARTER,4/24/2020
TAMPA RESIDENTIAL FACILITY,41,0,0,1,ALTERNATIVE,4/24/2020
TERRACE COMMUNITY SCHOOL,657,0,0,1,CHARTER,4/24/2020
THE COLLABORATORY PREP ACADEMY,106,0,0,1,CHARTER,4/24/2020
THONOTOSASSA ELEMENTARY,438,0,0,1,ELEMENTARY,4/24/2020
TITLE ONE PRIVATE SCHOOL,2,0,0,1,ALTERNATIVE,4/24/2020
TRINITY SCHOOL FOR CHILDREN,890,0,0,1,CHARTER,4/24/2020
VALRICO LAKE ADVANTAGE ACAD,919,0,0,1,CHARTER,4/24/2020
VILLAGE OF EXCELLENCE,237,0,0,1,CHARTER,4/24/2020
VILLAGE OF EXCELLENCE MS,102,0,0,1,CHARTER,4/24/2020
VIRT FULL-TIME-K-12 FRANCHISE,323,0,0,1,ALTERNATIVE,4/24/2020
WALTON ACADEMY,180,0,0,1,CHARTER,4/24/2020
WATERSET CHARTER SCHOOL,1135,0,0,1,CHARTER,4/24/2020
WEBB MIDDLE SCHOOL,785,0,0,1,MIDDLE,4/24/2020
WEST UNIVERSITY CHARTER H.S.,276,0,0,1,CHARTER,4/24/2020
WHARTON HIGH SCHOOL,2188,0,0,1,HIGH,4/24/2020
WILSON MIDDLE SCHOOL,657,0,0,1,MIDDLE,4/24/2020
WINTHROP CHARTER SCHOOL,1320,0,0,1,CHARTER,4/24/2020
WOODMONT CHARTER SCHOOL,732,0,0,1,CHARTER,4/24/2020
YATES ELEMENTARY,706,0,0,1,ELEMENTARY,4/24/2020
