SCHOOLS,ENROLLMENT,ABSENT,% ABSENT,% PRESENT,SCHOOL_TYPE,WEEK
WILSON ELEMENTARY,363,4,0.011,0.989,ELEMENTARY,4/17/2020
MORGAN WOODS ELEMENTARY,478,5,0.0105,0.9895,ELEMENTARY,4/17/2020
SYMMES ELEMENTARY,478,5,0.0105,0.9895,ELEMENTARY,4/17/2020
BING ELEMENTARY,485,5,0.0103,0.9897,ELEMENTARY,4/17/2020
KENLY ELEMENTARY,491,5,0.0102,0.9898,ELEMENTARY,4/17/2020
TOMLIN MIDDLE SCHOOL,1669,17,0.0102,0.9898,MIDDLE,4/17/2020
TEMPLE TERRACE ELEMENTARY,593,6,0.0101,0.9899,ELEMENTARY,4/17/2020
SIMMONS CAREER CENTER,219,2,0.0091,0.9909,ALTERNATIVE,4/17/2020
NELSON ELEMENTARY,777,7,0.009,0.991,ELEMENTARY,4/17/2020
HERITAGE ELEMENTARY,562,5,0.0089,0.9911,ELEMENTARY,4/17/2020
MINTZ ELEMENTARY,785,7,0.0089,0.9911,ELEMENTARY,4/17/2020
NORTHWEST ELEMENTARY,705,6,0.0085,0.9915,ELEMENTARY,4/17/2020
JENNINGS MIDDLE SCHOOL,721,6,0.0083,0.9917,MIDDLE,4/17/2020
HAMMOND ELEMENTARY,736,6,0.0082,0.9918,ELEMENTARY,4/17/2020
DOVER ELEMENTARY,661,5,0.0076,0.9924,ELEMENTARY,4/17/2020
BOYETTE SPRINGS ELEMENTARY,811,6,0.0074,0.9926,ELEMENTARY,4/17/2020
KING HIGH SCHOOL,1715,12,0.007,0.993,HIGH,4/17/2020
THONOTOSASSA ELEMENTARY,437,3,0.0069,0.9931,ELEMENTARY,4/17/2020
BLAKE HIGH SCHOOL,1663,11,0.0066,0.9934,HIGH,4/17/2020
YOUNG MIDDLE MAGNET,609,4,0.0066,0.9934,MIDDLE,4/17/2020
MITCHELL ELEMENTARY,771,5,0.0065,0.9935,ELEMENTARY,4/17/2020
ALAFIA ELEMENTARY,621,4,0.0064,0.9936,ELEMENTARY,4/17/2020
WEBB MIDDLE SCHOOL,784,5,0.0064,0.9936,MIDDLE,4/17/2020
RANDALL MIDDLE SCHOOL,1473,9,0.0061,0.9939,MIDDLE,4/17/2020
COLLINS ELEMENTARY,1017,6,0.0059,0.9941,ELEMENTARY,4/17/2020
DAVIDSEN MIDDLE SCHOOL,1067,6,0.0056,0.9944,MIDDLE,4/17/2020
BLOOMINGDALE HIGH SCHOOL,2369,13,0.0055,0.9945,HIGH,4/17/2020
HUNTER'S GREEN ELEMENTARY,735,4,0.0054,0.9946,ELEMENTARY,4/17/2020
INDEPENDENCE ACADEMY,942,5,0.0053,0.9947,CHARTER,4/17/2020
ROBLES ELEMENTARY,761,4,0.0053,0.9947,ELEMENTARY,4/17/2020
RIVERVIEW ELEMENTARY,600,3,0.005,0.995,ELEMENTARY,4/17/2020
VALRICO ELEMENTARY,803,4,0.005,0.995,ELEMENTARY,4/17/2020
MARTINEZ MIDDLE SCHOOL,1237,6,0.0049,0.9951,MIDDLE,4/17/2020
LIBERTY MIDDLE SCHOOL,1158,5,0.0043,0.9957,MIDDLE,4/17/2020
MCDONALD ELEMENTARY,529,2,0.0038,0.9962,ELEMENTARY,4/17/2020
JEFFERSON HIGH SCHOOL,1615,6,0.0037,0.9963,HIGH,4/17/2020
WILLIAMS MIDDLE SCHOOL,807,3,0.0037,0.9963,MIDDLE,4/17/2020
FROST ELEMENTARY,548,2,0.0036,0.9964,ELEMENTARY,4/17/2020
STOWERS ELEMENTARY,900,3,0.0033,0.9967,ELEMENTARY,4/17/2020
PROGRESS VILLAGE MIDDLE SCHOOL,927,3,0.0032,0.9968,MIDDLE,4/17/2020
REDDICK ELEMENTARY,932,3,0.0032,0.9968,ELEMENTARY,4/17/2020
LITHIA SPRINGS ELEMENTARY,640,2,0.0031,0.9969,ELEMENTARY,4/17/2020
DEER PARK ELEMENTARY,986,3,0.003,0.997,ELEMENTARY,4/17/2020
TWIN LAKES ELEMENTARY,658,2,0.003,0.997,ELEMENTARY,4/17/2020
BRANDON HIGH SCHOOL,1735,5,0.0029,0.9971,HIGH,4/17/2020
SUMMERFIELD CROSSINGS ELEM,1027,3,0.0029,0.9971,ELEMENTARY,4/17/2020
TAMPA BAY TECH HIGH SCHOOL,2044,6,0.0029,0.9971,HIGH,4/17/2020
FARNELL MIDDLE SCHOOL,1276,3,0.0024,0.9976,MIDDLE,4/17/2020
CLARK ELEMENTARY,866,2,0.0023,0.9977,ELEMENTARY,4/17/2020
TURNER BARTELS K-8,1762,4,0.0023,0.9977,ALTERNATIVE,4/17/2020
BURNS MIDDLE SCHOOL,1383,3,0.0022,0.9978,MIDDLE,4/17/2020
EGYPT LAKE ELEMENTARY,485,1,0.0021,0.9979,ELEMENTARY,4/17/2020
POTTER ELEMENTARY,529,1,0.0019,0.9981,ELEMENTARY,4/17/2020
GORRIE ELEMENTARY,566,1,0.0018,0.9982,ELEMENTARY,4/17/2020
TERRACE COMMUNITY SCHOOL,657,1,0.0015,0.9985,CHARTER,4/17/2020
LUTZ PREPARATORY SCHOOL,782,1,0.0013,0.9987,CHARTER,4/17/2020
ROOSEVELT ELEMENTARY,790,1,0.0013,0.9987,ELEMENTARY,4/17/2020
CIMINO ELEMENTARY,837,1,0.0012,0.9988,ELEMENTARY,4/17/2020
STEINBRENNER HIGH SCHOOL,2509,2,0.0008,0.9992,HIGH,4/17/2020
WHARTON HIGH SCHOOL,2188,1,0.0005,0.9995,HIGH,4/17/2020
PLANT HIGH SCHOOL,2515,1,0.0004,0.9996,HIGH,4/17/2020
RIVERVIEW HIGH SCHOOL,2526,1,0.0004,0.9996,HIGH,4/17/2020
SICKLES HIGH SCHOOL,2414,1,0.0004,0.9996,HIGH,4/17/2020
ACTS,15,0,0,1,ALTERNATIVE,4/17/2020
ADAMS MIDDLE SCHOOL,772,0,0,1,MIDDLE,4/17/2020
ADVANTAGE ACADEMY OF HILLSBORO,447,0,0,1,CHARTER,4/17/2020
ALEXANDER ELEMENTARY,586,0,0,1,ELEMENTARY,4/17/2020
ALONSO HIGH SCHOOL,2497,0,0,1,HIGH,4/17/2020
AMI KIDS YES,31,0,0,1,ALTERNATIVE,4/17/2020
APOLLO BEACH ELEMENTARY,658,0,0,1,ELEMENTARY,4/17/2020
ARMWOOD HIGH SCHOOL,2166,0,0,1,HIGH,4/17/2020
BAILEY ELEMENTARY,759,0,0,1,ELEMENTARY,4/17/2020
BALLAST POINT ELEMENTARY,508,0,0,1,ELEMENTARY,4/17/2020
BARRINGTON MIDDLE SCHOOL,1618,0,0,1,MIDDLE,4/17/2020
BELL CREEK ACADEMY,564,0,0,1,CHARTER,4/17/2020
BELL CREEK ACADEMY HIGH SCHOOL,528,0,0,1,CHARTER,4/17/2020
BENITO MIDDLE SCHOOL,1109,0,0,1,MIDDLE,4/17/2020
BEVIS ELEMENTARY,890,0,0,1,ELEMENTARY,4/17/2020
BRANDON EPIC3 CENTER,113,0,0,1,ALTERNATIVE,4/17/2020
BRIDGEPREP ACADEMY OF TAMPA,342,0,0,1,CHARTER,4/17/2020
BROOKS DEBARTOLO COLLEGIATE,611,0,0,1,CHARTER,4/17/2020
BRYANT ELEMENTARY,961,0,0,1,ELEMENTARY,4/17/2020
BT WASHINGTON ELEMENTARY,440,0,0,1,ELEMENTARY,4/17/2020
BURNEY ELEMENTARY,362,0,0,1,ELEMENTARY,4/17/2020
CAMINITI EXCEPTIONAL CENTER,100,0,0,1,ALTERNATIVE,4/17/2020
CARROLLWOOD ELEMENTARY,757,0,0,1,ELEMENTARY,4/17/2020
CARVER EXCEPTIONAL CENTER,46,0,0,1,ALTERNATIVE,4/17/2020
CHANNELSIDE ACAD MATH AND SCI,521,0,0,1,CHARTER,4/17/2020
CLEVELAND ELEMENTARY,388,0,0,1,ELEMENTARY,4/17/2020
COLEMAN MIDDLE SCHOOL,1030,0,0,1,MIDDLE,4/17/2020
COLUMBUS JUVENILE RESIDENTIAL,37,0,0,1,ALTERNATIVE,4/17/2020
CREEKSIDE CHARTER ACADEMY,649,0,0,1,CHARTER,4/17/2020
CYPRESS CREEK ELEMENTARY,991,0,0,1,ELEMENTARY,4/17/2020
DETENTION CENTER WEST,23,0,0,1,ALTERNATIVE,4/17/2020
DICKENSON ELEMENTARY,634,0,0,1,ELEMENTARY,4/17/2020
DOBY ELEMENTARY,869,0,0,1,ELEMENTARY,4/17/2020
DR CARTER G WOODSON K-8,1085,0,0,1,ALTERNATIVE,4/17/2020
DR KIRAN C PATEL HIGH SCHOOL,241,0,0,1,CHARTER,4/17/2020
DUNBAR ELEMENTARY,238,0,0,1,ELEMENTARY,4/17/2020
DURANT HIGH SCHOOL,2412,0,0,1,HIGH,4/17/2020
EARLY CHILDHOOD PROGRAMS,1,0,0,1,ALTERNATIVE,4/17/2020
EDISON ELEMENTARY,390,0,0,1,ELEMENTARY,4/17/2020
EISENHOWER MIDDLE SCHOOL,1449,0,0,1,MIDDLE,4/17/2020
ENCORE,37,0,0,1,ALTERNATIVE,4/17/2020
ESE BIRTH THROUGH AGE 5,397,0,0,1,ALTERNATIVE,4/17/2020
ESE HOSPITAL/HOMEBOUND,153,0,0,1,ALTERNATIVE,4/17/2020
ESSRIG ELEMENTARY,629,0,0,1,ELEMENTARY,4/17/2020
EXCELSIOR PREP CHARTER SCHOOL,182,0,0,1,CHARTER,4/17/2020
FALKENBURG ROAD JAIL,6,0,0,1,ALTERNATIVE,4/17/2020
FERRELL (GIRLS) MIDDLE MAGNET,572,0,0,1,MIDDLE,4/17/2020
FISHHAWK CREEK ELEMENTARY,1141,0,0,1,ELEMENTARY,4/17/2020
FLORIDA AUTISM CHARTER SCHOOL,131,0,0,1,CHARTER,4/17/2020
FLORIDA CONNECTIONS ACADEMY,2196,0,0,1,CHARTER,4/17/2020
FOSTER ELEMENTARY,450,0,0,1,ELEMENTARY,4/17/2020
FRANKLIN (BOYS) MIDDLE MAGNET,513,0,0,1,MIDDLE,4/17/2020
FREEDOM HIGH SCHOOL,1745,0,0,1,HIGH,4/17/2020
GRADY ELEMENTARY,538,0,0,1,ELEMENTARY,4/17/2020
GRECO MIDDLE SCHOOL,865,0,0,1,MIDDLE,4/17/2020
HENDERSON HAMMOCK CHARTER SCH,1111,0,0,1,CHARTER,4/17/2020
HILL MIDDLE SCHOOL,1079,0,0,1,MIDDLE,4/17/2020
HILLSBOROUGH ACAD MATH SCIENCE,845,0,0,1,CHARTER,4/17/2020
HILLSBOROUGH GIRLS ACADEMY,17,0,0,1,ALTERNATIVE,4/17/2020
HILLSBOROUGH HIGH SCHOOL,1799,0,0,1,HIGH,4/17/2020
HORIZON CHARTER SCH.OF TAMPA,307,0,0,1,CHARTER,4/17/2020
IPPOLITO ELEMENTARY,592,0,0,1,ELEMENTARY,4/17/2020
JAMES ELEMENTARY,554,0,0,1,ELEMENTARY,4/17/2020
KID'S COMMU COLLEGE CHARTER HS,213,0,0,1,CHARTER,4/17/2020
KIDS COMM COLLEGE SOUTHEAST MI,207,0,0,1,CHARTER,4/17/2020
KIDS COMMU COLLEGE RIVERVIEW S,571,0,0,1,CHARTER,4/17/2020
KIDS COMMU COLLEGE SOUTHEAST,374,0,0,1,CHARTER,4/17/2020
KIMBELL ELEMENTARY,430,0,0,1,ELEMENTARY,4/17/2020
KINGSWOOD ELEMENTARY,492,0,0,1,ELEMENTARY,4/17/2020
LAKE ACADEMY,24,0,0,1,ALTERNATIVE,4/17/2020
LAMB ELEMENTARY,679,0,0,1,ELEMENTARY,4/17/2020
LANIER ELEMENTARY,390,0,0,1,ELEMENTARY,4/17/2020
LAVOY EXCEPTIONAL CENTER,77,0,0,1,ALTERNATIVE,4/17/2020
LEARNING GATE COMMUNITY,777,0,0,1,CHARTER,4/17/2020
LEGACY PREPARATORY ACADEMY,216,0,0,1,CHARTER,4/17/2020
LENNARD HIGH SCHOOL,3190,0,0,1,HIGH,4/17/2020
LES PETERS ACADEMY,12,0,0,1,ALTERNATIVE,4/17/2020
LETO HIGH SCHOOL,2027,0,0,1,HIGH,4/17/2020
LIMONA ELEMENTARY,611,0,0,1,ELEMENTARY,4/17/2020
LINCOLN ELEMENTARY MAGNET,486,0,0,1,ELEMENTARY,4/17/2020
LITERACY LEADERSHIP TECH ACAD,628,0,0,1,CHARTER,4/17/2020
LUTZ K-8 SCHOOL,762,0,0,1,ALTERNATIVE,4/17/2020
MABRY ELEMENTARY,872,0,0,1,ELEMENTARY,4/17/2020
MACFARLANE PARK ELEM MAGNET,358,0,0,1,ELEMENTARY,4/17/2020
MANN MIDDLE SCHOOL,900,0,0,1,MIDDLE,4/17/2020
MCKITRICK ELEMENTARY,1047,0,0,1,ELEMENTARY,4/17/2020
MCLANE MIDDLE SCHOOL,717,0,0,1,MIDDLE,4/17/2020
MENDEZ EXCEPTIONAL CENTER,14,0,0,1,ALTERNATIVE,4/17/2020
MIDDLETON HIGH SCHOOL,1515,0,0,1,HIGH,4/17/2020
MONROE MIDDLE SCHOOL,378,0,0,1,MIDDLE,4/17/2020
